,target,target_country,source,source_country,fee,fee_cleaned,season,transfer_period
280,Borussia Dortmund,Germany,FC Utrecht,Netherlands,€2.80m,2.8,1997/1998,Winter
281,Borussia Dortmund,Germany,Brescia Calcio,Italy,free transfer,0.0,1997/1998,Winter
282,Arminia Bielefeld,Germany,PSV Eindhoven,Netherlands,free transfer,0.0,1997/1998,Winter
283,Arminia Bielefeld,Germany,Bayer 04 Leverkusen,Germany,?,,1997/1998,Winter
284,1. FC Köln,Germany,Bayern Munich,Germany,Loan fee:€500Th.,0.5,1997/1998,Winter
285,1. FC Köln,Germany,Bayern Munich,Germany,?,,1997/1998,Winter
286,1.FC Kaiserslautern,Germany,SV Werder Bremen,Germany,€1.15m,1.15,1998/1999,Summer
287,1.FC Kaiserslautern,Germany,VfL Bochum,Germany,€175Th.,0.175,1998/1999,Summer
288,VfL Wolfsburg,Germany,Borussia Mönchengladbach,Germany,€1.25m,1.25,1998/1999,Summer
289,VfL Wolfsburg,Germany,FC Hansa Rostock,Germany,€500Th.,0.5,1998/1999,Summer
290,VfB Stuttgart,Germany,Real Oviedo,Spain,€500Th.,0.5,1998/1999,Summer
291,VfB Stuttgart,Germany,VfL Wolfsburg,Germany,€300Th.,0.3,1998/1999,Summer
292,VfB Stuttgart,Germany,MSV Duisburg,Germany,free transfer,0.0,1998/1999,Summer
293,TSV 1860 Munich,Germany,Hertha BSC,Germany,€1.00m,1.0,1998/1999,Summer
294,TSV 1860 Munich,Germany,FC Schalke 04,Germany,free transfer,0.0,1998/1999,Summer
295,SC Freiburg,Germany,Hamburger SV,Germany,€245Th.,0.245,1998/1999,Summer
296,SC Freiburg,Germany,FC Nantes,France,free transfer,0.0,1998/1999,Summer
297,MSV Duisburg,Germany,Borussia Mönchengladbach,Germany,free transfer,0.0,1998/1999,Summer
298,MSV Duisburg,Germany,SC Bastia,France,free transfer,0.0,1998/1999,Summer
299,MSV Duisburg,Germany,Bayer 04 Leverkusen,Germany,?,,1998/1999,Summer
300,Hertha BSC,Germany,VfL Bochum,Germany,€2.60m,2.6,1998/1999,Summer
301,Hamburger SV,Germany,Twente Enschede FC,Netherlands,€1.00m,1.0,1998/1999,Summer
302,Hamburger SV,Germany,Blackburn Rovers,England,Loan fee:€200Th.,0.2,1998/1999,Summer
303,Hamburger SV,Germany,FC Hansa Rostock,Germany,free transfer,0.0,1998/1999,Summer
304,Hamburger SV,Germany,AS Bari,Italy,free transfer,0.0,1998/1999,Summer
305,FC Schalke 04,Germany,SV Werder Bremen,Germany,€700Th.,0.7,1998/1999,Summer
306,FC Schalke 04,Germany,Tottenham Hotspur,England,€150Th.,0.15,1998/1999,Summer
307,FC Schalke 04,Germany,Hamburger SV,Germany,free transfer,0.0,1998/1999,Summer
308,Bayern Munich,Germany,Borussia Mönchengladbach,Germany,€4.25m,4.25,1998/1999,Summer
309,Bayern Munich,Germany,TSV 1860 Munich,Germany,€800Th.,0.8,1998/1999,Summer
310,Bayern Munich,Germany,FC Schalke 04,Germany,free transfer,0.0,1998/1999,Summer
311,Bayern Munich,Germany,Hamburger SV,Germany,free transfer,0.0,1998/1999,Summer
312,Eintracht Frankfurt,Germany,Bayern Munich,Germany,€80Th.,0.08,1998/1999,Summer
313,Eintracht Frankfurt,Germany,1.FC Nuremberg,Germany,free transfer,0.0,1998/1999,Summer
314,Eintracht Frankfurt,Germany,Feyenoord Rotterdam,Netherlands,loan transfer,,1998/1999,Summer
315,Eintracht Frankfurt,Germany,Blackburn Rovers,England,?,,1998/1999,Summer
316,Borussia Mönchengladbach,Germany,Bayer 04 Leverkusen,Germany,€1.40m,1.4,1998/1999,Summer
317,Borussia Mönchengladbach,Germany,VfB Stuttgart,Germany,€750Th.,0.75,1998/1999,Summer
318,Borussia Mönchengladbach,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,1998/1999,Summer
319,Borussia Mönchengladbach,Germany,MSV Duisburg,Germany,?,,1998/1999,Summer
320,Borussia Dortmund,Germany,MSV Duisburg,Germany,€4.20m,4.2,1998/1999,Summer
321,Borussia Dortmund,Germany,FC Hansa Rostock,Germany,€1.10m,1.1,1998/1999,Summer
322,Borussia Dortmund,Germany,Bayern Munich,Germany,free transfer,0.0,1998/1999,Summer
323,Borussia Dortmund,Germany,FC Utrecht,Netherlands,"End of loanJun 30, 1998",,1998/1999,Summer
324,Bayer 04 Leverkusen,Germany,Real Madrid,Spain,€7.00m,7.0,1998/1999,Summer
325,Bayer 04 Leverkusen,Germany,VfL Bochum,Germany,€800Th.,0.8,1998/1999,Summer
326,1.FC Nuremberg,Germany,1.FC Kaiserslautern,Germany,€1.75m,1.75,1998/1999,Summer
327,1.FC Nuremberg,Germany,MSV Duisburg,Germany,free transfer,0.0,1998/1999,Summer
328,SV Werder Bremen,Germany,Atlético de Madrid,Spain,€1.35m,1.35,1998/1999,Summer
329,SV Werder Bremen,Germany,Hamburger SV,Germany,€500Th.,0.5,1998/1999,Summer
330,Hamburger SV,Germany,Zenit St. Petersburg,Russia,loan transfer,,1998/1999,Winter
331,SV Werder Bremen,Germany,Hamburger SV,Germany,€400Th.,0.4,1998/1999,Winter
332,TSV 1860 Munich,Germany,1.FC Nuremberg,Germany,free transfer,0.0,1998/1999,Winter
333,MSV Duisburg,Germany,Bayern Munich,Germany,Loan fee:€125Th.,0.125,1998/1999,Winter
334,Borussia Mönchengladbach,Germany,Bayern Munich,Germany,loan transfer,,1998/1999,Winter
335,Borussia Mönchengladbach,Germany,SC Freiburg,Germany,?,,1998/1999,Winter
336,Borussia Dortmund,Germany,AC Milan,Italy,€4.00m,4.0,1998/1999,Winter
337,Borussia Dortmund,Germany,TSV 1860 Munich,Germany,€800Th.,0.8,1998/1999,Winter
338,1.FC Nuremberg,Germany,Olympique Marseille,France,free transfer,0.0,1998/1999,Winter
339,1.FC Nuremberg,Germany,Borussia Dortmund,Germany,free transfer,0.0,1998/1999,Winter
340,Bayern Munich,Germany,AS Roma,Italy,€6.60m,6.6,1999/2000,Summer
341,MSV Duisburg,Germany,VfL Wolfsburg,Germany,€430Th.,0.43,1999/2000,Summer
342,MSV Duisburg,Germany,Bayer 04 Leverkusen,Germany,Loan fee:€150Th.,0.15,1999/2000,Summer
343,MSV Duisburg,Germany,Newcastle United,England,free transfer,0.0,1999/2000,Summer
344,MSV Duisburg,Germany,VfB Stuttgart,Germany,free transfer,0.0,1999/2000,Summer
345,MSV Duisburg,Germany,Hertha BSC,Germany,loan transfer,,1999/2000,Summer
346,Bayer 04 Leverkusen,Germany,FC Hansa Rostock,Germany,€4.50m,4.5,1999/2000,Summer
347,Bayer 04 Leverkusen,Germany,1.FC Kaiserslautern,Germany,€4.00m,4.0,1999/2000,Summer
348,Bayer 04 Leverkusen,Germany,Eintracht Frankfurt,Germany,€1.25m,1.25,1999/2000,Summer
349,Bayer 04 Leverkusen,Germany,SC Freiburg,Germany,free transfer,0.0,1999/2000,Summer
350,Hertha BSC,Germany,FC Hansa Rostock,Germany,€3.60m,3.6,1999/2000,Summer
351,Hertha BSC,Germany,Bayern Munich,Germany,€2.70m,2.7,1999/2000,Summer
352,Hertha BSC,Germany,Sunderland AFC,England,loan transfer,,1999/2000,Summer
353,Hertha BSC,Germany,Vitesse Arnhem,Netherlands,?,,1999/2000,Summer
354,Borussia Dortmund,Germany,Paris Saint-Germain,France,€6.75m,6.75,1999/2000,Summer
355,Borussia Dortmund,Germany,AS Monaco,France,€6.00m,6.0,1999/2000,Summer
356,Borussia Dortmund,Germany,VfB Stuttgart,Germany,€5.75m,5.75,1999/2000,Summer
357,Borussia Dortmund,Germany,Arminia Bielefeld,Germany,€2.20m,2.2,1999/2000,Summer
358,Borussia Dortmund,Germany,VfL Wolfsburg,Germany,free transfer,0.0,1999/2000,Summer
359,1.FC Kaiserslautern,Germany,Inter Milan,Italy,€1.50m,1.5,1999/2000,Summer
360,1.FC Kaiserslautern,Germany,MSV Duisburg,Germany,free transfer,0.0,1999/2000,Summer
361,1.FC Kaiserslautern,Germany,FC Metz,France,free transfer,0.0,1999/2000,Summer
362,1.FC Kaiserslautern,Germany,Eintracht Frankfurt,Germany,free transfer,0.0,1999/2000,Summer
363,VfL Wolfsburg,Germany,VfB Stuttgart,Germany,€1.40m,1.4,1999/2000,Summer
364,VfL Wolfsburg,Germany,Stade Rennais FC,France,€375Th.,0.375,1999/2000,Summer
365,VfL Wolfsburg,Germany,SV Werder Bremen,Germany,free transfer,0.0,1999/2000,Summer
366,TSV 1860 Munich,Germany,FC Schalke 04,Germany,€750Th.,0.75,1999/2000,Summer
367,TSV 1860 Munich,Germany,FC Hansa Rostock,Germany,free transfer,0.0,1999/2000,Summer
368,TSV 1860 Munich,Germany,FC Schalke 04,Germany,free transfer,0.0,1999/2000,Summer
369,TSV 1860 Munich,Germany,Borussia Dortmund,Germany,free transfer,0.0,1999/2000,Summer
370,TSV 1860 Munich,Germany,1.FC Kaiserslautern,Germany,free transfer,0.0,1999/2000,Summer
371,FC Schalke 04,Germany,Twente Enschede FC,Netherlands,€3.40m,3.4,1999/2000,Summer
372,FC Schalke 04,Germany,Racing Santander,Spain,"End of loanJun 30, 1999",,1999/2000,Summer
373,VfB Stuttgart,Germany,Liverpool FC,England,€1.50m,1.5,1999/2000,Summer
374,VfB Stuttgart,Germany,Arminia Bielefeld,Germany,€750Th.,0.75,1999/2000,Summer
375,VfB Stuttgart,Germany,SV Werder Bremen,Germany,free transfer,0.0,1999/2000,Summer
376,FC Hansa Rostock,Germany,VfL Wolfsburg,Germany,€500Th.,0.5,1999/2000,Summer
377,FC Hansa Rostock,Germany,SpVgg Unterhaching,Germany,€125Th.,0.125,1999/2000,Summer
378,FC Hansa Rostock,Germany,Borussia Dortmund,Germany,free transfer,0.0,1999/2000,Summer
379,FC Hansa Rostock,Germany,VfL Wolfsburg,Germany,free transfer,0.0,1999/2000,Summer
380,FC Hansa Rostock,Germany,VfB Stuttgart,Germany,free transfer,0.0,1999/2000,Summer
381,FC Hansa Rostock,Germany,SV Werder Bremen,Germany,free transfer,0.0,1999/2000,Summer
382,Hamburger SV,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,1999/2000,Summer
383,Hamburger SV,Germany,VfL Wolfsburg,Germany,free transfer,0.0,1999/2000,Summer
384,Eintracht Frankfurt,Germany,Borussia Dortmund,Germany,€3.60m,3.6,1999/2000,Summer
385,Eintracht Frankfurt,Germany,TSV 1860 Munich,Germany,€1.80m,1.8,1999/2000,Summer
386,Arminia Bielefeld,Germany,Arminia Bielefeld,Germany,free transfer,0.0,1999/2000,Summer
387,Arminia Bielefeld,Germany,Bayern Munich,Germany,loan transfer,,1999/2000,Summer
388,Arminia Bielefeld,Germany,VfB Stuttgart,Germany,loan transfer,,1999/2000,Summer
389,SpVgg Unterhaching,Germany,Hamburger SV,Germany,€125Th.,0.125,1999/2000,Summer
390,SpVgg Unterhaching,Germany,Hertha BSC,Germany,free transfer,0.0,1999/2000,Summer
391,SpVgg Unterhaching,Germany,Arsenal FC,England,loan transfer,,1999/2000,Summer
392,SSV Ulm 1846,Germany,De Graafschap Doetinchem,Netherlands,€250Th.,0.25,1999/2000,Summer
393,MSV Duisburg,Germany,FC Schalke 04,Germany,€500Th.,0.5,1999/2000,Winter
394,Hertha BSC,Germany,Hamburger SV,Germany,€175Th.,0.175,1999/2000,Winter
395,1.FC Kaiserslautern,Germany,Bayern Munich,Germany,€750Th.,0.75,1999/2000,Winter
396,1.FC Kaiserslautern,Germany,Arminia Bielefeld,Germany,€500Th.,0.5,1999/2000,Winter
397,VfL Wolfsburg,Germany,1.FC Kaiserslautern,Germany,€250Th.,0.25,1999/2000,Winter
398,VfL Wolfsburg,Germany,Borussia Dortmund,Germany,?,,1999/2000,Winter
399,FC Schalke 04,Germany,Bayer 04 Leverkusen,Germany,€500Th.,0.5,1999/2000,Winter
400,FC Schalke 04,Germany,VfB Stuttgart,Germany,free transfer,0.0,1999/2000,Winter
401,SC Freiburg,Germany,FC Hansa Rostock,Germany,free transfer,0.0,1999/2000,Winter
402,FC Hansa Rostock,Germany,Torino FC,Italy,€1.00m,1.0,1999/2000,Winter
403,Eintracht Frankfurt,Germany,1.FC Kaiserslautern,Germany,€1.25m,1.25,1999/2000,Winter
404,Eintracht Frankfurt,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,1999/2000,Winter
405,Eintracht Frankfurt,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,1999/2000,Winter
406,Arminia Bielefeld,Germany,FC Hansa Rostock,Germany,free transfer,0.0,1999/2000,Winter
407,SpVgg Unterhaching,Germany,VfB Stuttgart,Germany,free transfer,0.0,1999/2000,Winter
408,SpVgg Unterhaching,Germany,VfL Wolfsburg,Germany,free transfer,0.0,1999/2000,Winter
409,Borussia Dortmund,Germany,Juventus FC,Italy,€7.50m,7.5,2000/2001,Summer
410,Borussia Dortmund,Germany,AC Fiorentina,Italy,€4.10m,4.1,2000/2001,Summer
411,Bayer 04 Leverkusen,Germany,1. FC Köln,Germany,€2.10m,2.1,2000/2001,Summer
412,Bayer 04 Leverkusen,Germany,Hertha BSC,Germany,€750Th.,0.75,2000/2001,Summer
413,Bayern Munich,Germany,AS Monaco,France,€7.70m,7.7,2000/2001,Summer
414,Bayern Munich,Germany,1.FC Kaiserslautern,Germany,€2.30m,2.3,2000/2001,Summer
415,1.FC Kaiserslautern,Germany,Hamburger SV,Germany,€900Th.,0.9,2000/2001,Summer
416,Hamburger SV,Germany,Borussia Dortmund,Germany,€1.80m,1.8,2000/2001,Summer
417,Hamburger SV,Germany,FC Schalke 04,Germany,Loan fee:€100Th.,0.1,2000/2001,Summer
418,Hamburger SV,Germany,TSV 1860 Munich,Germany,free transfer,0.0,2000/2001,Summer
419,SC Freiburg,Germany,RC Strasbourg Alsace,France,free transfer,0.0,2000/2001,Summer
420,1. FC Köln,Germany,VfB Stuttgart,Germany,€750Th.,0.75,2000/2001,Summer
421,1. FC Köln,Germany,Hamburger SV,Germany,€125Th.,0.125,2000/2001,Summer
422,1. FC Köln,Germany,FC Girondins Bordeaux,France,free transfer,0.0,2000/2001,Summer
423,1. FC Köln,Germany,NAC Breda,Netherlands,free transfer,0.0,2000/2001,Summer
424,SpVgg Unterhaching,Germany,Bayer 04 Leverkusen,Germany,Loan fee:€150Th.,0.15,2000/2001,Summer
425,SpVgg Unterhaching,Germany,Bayern Munich,Germany,Loan fee:€75Th.,0.075,2000/2001,Summer
426,SpVgg Unterhaching,Germany,VfL Wolfsburg,Germany,€50Th.,0.05,2000/2001,Summer
427,VfB Stuttgart,Germany,SpVgg Unterhaching,Germany,€250Th.,0.25,2000/2001,Summer
428,Eintracht Frankfurt,Germany,1.FC Kaiserslautern,Germany,?,,2000/2001,Summer
429,SV Werder Bremen,Germany,Ajax Amsterdam,Netherlands,€2.10m,2.1,2000/2001,Summer
430,SV Werder Bremen,Germany,Hamburger SV,Germany,€1.00m,1.0,2000/2001,Summer
431,FC Schalke 04,Germany,Borussia Dortmund,Germany,free transfer,0.0,2000/2001,Summer
432,FC Hansa Rostock,Germany,FC Energie Cottbus,Germany,free transfer,0.0,2000/2001,Summer
433,VfL Wolfsburg,Germany,Bayer 04 Leverkusen,Germany,Loan fee:€150Th.,0.15,2000/2001,Summer
434,VfL Wolfsburg,Germany,1.FC Kaiserslautern,Germany,free transfer,0.0,2000/2001,Summer
435,VfL Wolfsburg,Germany,Real Sociedad,Spain,free transfer,0.0,2000/2001,Summer
436,VfL Bochum,Germany,Bayer 04 Leverkusen,Germany,€500Th.,0.5,2000/2001,Summer
437,VfL Bochum,Germany,Hertha BSC,Germany,free transfer,0.0,2000/2001,Summer
438,VfL Bochum,Germany,Hertha BSC,Germany,free transfer,0.0,2000/2001,Summer
439,Hertha BSC,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,2000/2001,Summer
440,Hertha BSC,Germany,AC Fiorentina,Italy,free transfer,0.0,2000/2001,Summer
441,FC Energie Cottbus,Germany,FC Hansa Rostock,Germany,€100Th.,0.1,2000/2001,Summer
442,TSV 1860 Munich,Germany,Bayer 04 Leverkusen,Germany,€750Th.,0.75,2000/2001,Winter
443,1.FC Kaiserslautern,Germany,AJ Auxerre,France,€1.10m,1.1,2000/2001,Winter
444,1.FC Kaiserslautern,Germany,Tottenham Hotspur,England,€320Th.,0.32,2000/2001,Winter
445,Hamburger SV,Germany,Liverpool FC,England,free transfer,0.0,2000/2001,Winter
446,SC Freiburg,Germany,Borussia Dortmund,Germany,€500Th.,0.5,2000/2001,Winter
447,SC Freiburg,Germany,Borussia Dortmund,Germany,free transfer,0.0,2000/2001,Winter
448,SpVgg Unterhaching,Germany,TSV 1860 Munich,Germany,€780Th.,0.78,2000/2001,Winter
449,SpVgg Unterhaching,Germany,CS Sedan-Ardennes,France,€250Th.,0.25,2000/2001,Winter
450,SpVgg Unterhaching,Germany,FC Hansa Rostock,Germany,€125Th.,0.125,2000/2001,Winter
451,VfB Stuttgart,Germany,VfL Bochum,Germany,€50Th.,0.05,2000/2001,Winter
452,VfB Stuttgart,Germany,Hertha BSC,Germany,loan transfer,,2000/2001,Winter
453,FC Hansa Rostock,Germany,Eintracht Frankfurt,Germany,Loan fee:€180Th.,0.18,2000/2001,Winter
454,VfL Wolfsburg,Germany,Derby County,England,free transfer,0.0,2000/2001,Winter
455,Borussia Dortmund,Germany,Parma FC,Italy,€25.50m,25.5,2001/2002,Summer
456,Borussia Dortmund,Germany,Parma FC,Italy,Loan fee:€3.00m,3.0,2001/2002,Summer
457,Borussia Dortmund,Germany,Arsenal FC,England,€300Th.,0.3,2001/2002,Summer
458,Borussia Dortmund,Germany,Montpellier HSC,France,free transfer,0.0,2001/2002,Summer
459,Bayern Munich,Germany,SV Werder Bremen,Germany,€7.54m,7.54,2001/2002,Summer
460,Bayern Munich,Germany,Bayer 04 Leverkusen,Germany,€7.50m,7.5,2001/2002,Summer
461,Bayern Munich,Germany,Hamburger SV,Germany,€5.50m,5.5,2001/2002,Summer
462,Bayern Munich,Germany,VfB Stuttgart,Germany,free transfer,0.0,2001/2002,Summer
463,FC Schalke 04,Germany,FC Hansa Rostock,Germany,€5.10m,5.1,2001/2002,Summer
464,FC Schalke 04,Germany,FC Girondins Bordeaux,France,€2.00m,2.0,2001/2002,Summer
465,FC Schalke 04,Germany,VfB Stuttgart,Germany,free transfer,0.0,2001/2002,Summer
466,FC Schalke 04,Germany,Hamburger SV,Germany,"End of loanJun 30, 2001",,2001/2002,Summer
467,Bayer 04 Leverkusen,Germany,VfL Wolfsburg,Germany,€6.00m,6.0,2001/2002,Summer
468,Bayer 04 Leverkusen,Germany,Hamburger SV,Germany,free transfer,0.0,2001/2002,Summer
469,Bayer 04 Leverkusen,Germany,VfL Wolfsburg,Germany,"End of loanJun 30, 2001",,2001/2002,Summer
470,Hertha BSC,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,2001/2002,Summer
471,Hertha BSC,Germany,VfB Stuttgart,Germany,free transfer,0.0,2001/2002,Summer
472,Hertha BSC,Germany,VfB Stuttgart,Germany,"End of loanJun 30, 2001",,2001/2002,Summer
473,VfB Stuttgart,Germany,Hertha BSC,Germany,€550Th.,0.55,2001/2002,Summer
474,1.FC Kaiserslautern,Germany,VfL Wolfsburg,Germany,€2.25m,2.25,2001/2002,Summer
475,1.FC Kaiserslautern,Germany,Arsenal FC,England,€900Th.,0.9,2001/2002,Summer
476,1.FC Kaiserslautern,Germany,TSV 1860 Munich,Germany,€600Th.,0.6,2001/2002,Summer
477,1.FC Kaiserslautern,Germany,Brescia Calcio,Italy,"End of loanJun 30, 2001",,2001/2002,Summer
478,VfL Wolfsburg,Germany,Bayer 04 Leverkusen,Germany,Loan fee:€1.25m,1.25,2001/2002,Summer
479,VfL Wolfsburg,Germany,CA Osasuna,Spain,€450Th.,0.45,2001/2002,Summer
480,SV Werder Bremen,Germany,VfB Stuttgart,Germany,€1.50m,1.5,2001/2002,Summer
481,SV Werder Bremen,Germany,FC St. Pauli,Germany,€500Th.,0.5,2001/2002,Summer
482,SV Werder Bremen,Germany,VfB Stuttgart,Germany,€375Th.,0.375,2001/2002,Summer
483,SV Werder Bremen,Germany,FC St. Pauli,Germany,free transfer,0.0,2001/2002,Summer
484,1.FC Nuremberg,Germany,Hertha BSC,Germany,€750Th.,0.75,2001/2002,Summer
485,1.FC Nuremberg,Germany,Hertha BSC,Germany,free transfer,0.0,2001/2002,Summer
486,1.FC Nuremberg,Germany,SV Werder Bremen,Germany,free transfer,0.0,2001/2002,Summer
487,1. FC Köln,Germany,1.FC Kaiserslautern,Germany,€3.00m,3.0,2001/2002,Summer
488,1. FC Köln,Germany,Bayer 04 Leverkusen,Germany,free transfer,0.0,2001/2002,Summer
489,TSV 1860 Munich,Germany,Bayern Munich,Germany,€750Th.,0.75,2001/2002,Summer
490,FC Hansa Rostock,Germany,Hamburger SV,Germany,€600Th.,0.6,2001/2002,Summer
491,FC Hansa Rostock,Germany,TSV 1860 Munich,Germany,€500Th.,0.5,2001/2002,Summer
492,FC Hansa Rostock,Germany,FC Schalke 04,Germany,€500Th.,0.5,2001/2002,Summer
493,FC Hansa Rostock,Germany,SC Freiburg,Germany,free transfer,0.0,2001/2002,Summer
494,SC Freiburg,Germany,FC St. Pauli,Germany,free transfer,0.0,2001/2002,Summer
495,Hamburger SV,Germany,FC Hansa Rostock,Germany,free transfer,0.0,2001/2002,Summer
496,Hamburger SV,Germany,VfL Wolfsburg,Germany,free transfer,0.0,2001/2002,Summer
497,Hamburger SV,Germany,FC Hansa Rostock,Germany,free transfer,0.0,2001/2002,Summer
498,FC St. Pauli,Germany,FC Schalke 04,Germany,free transfer,0.0,2001/2002,Summer
499,FC St. Pauli,Germany,Hamburger SV,Germany,free transfer,0.0,2001/2002,Summer
500,Borussia Dortmund,Germany,SC Freiburg,Germany,€3.20m,3.2,2001/2002,Winter
501,VfB Stuttgart,Germany,SL Benfica,Portugal,€7.50m,7.5,2001/2002,Winter
502,1.FC Kaiserslautern,Germany,AC Milan,Italy,free transfer,0.0,2001/2002,Winter
503,1.FC Kaiserslautern,Germany,Real Madrid,Spain,free transfer,0.0,2001/2002,Winter
504,1.FC Nuremberg,Germany,TSV 1860 Munich,Germany,€250Th.,0.25,2001/2002,Winter
505,1.FC Nuremberg,Germany,Bayer 04 Leverkusen,Germany,Loan fee:€250Th.,0.25,2001/2002,Winter
506,1. FC Köln,Germany,West Ham United,England,Loan fee:€1.00m,1.0,2001/2002,Winter
507,1. FC Köln,Germany,Sunderland AFC,England,loan transfer,,2001/2002,Winter
508,TSV 1860 Munich,Germany,West Ham United,England,free transfer,0.0,2001/2002,Winter
509,SC Freiburg,Germany,Hamburger SV,Germany,free transfer,0.0,2001/2002,Winter
510,FC Energie Cottbus,Germany,VfL Wolfsburg,Germany,€300Th.,0.3,2001/2002,Winter
511,Bayern Munich,Germany,Bayer 04 Leverkusen,Germany,€9.50m,9.5,2002/2003,Summer
512,Bayern Munich,Germany,Hertha BSC,Germany,€9.00m,9.0,2002/2003,Summer
513,Bayern Munich,Germany,Bayer 04 Leverkusen,Germany,€6.00m,6.0,2002/2003,Summer
514,Borussia Dortmund,Germany,SV Werder Bremen,Germany,€8.50m,8.5,2002/2003,Summer
515,Borussia Dortmund,Germany,1.FC Kaiserslautern,Germany,free transfer,0.0,2002/2003,Summer
516,Borussia Dortmund,Germany,Bolton Wanderers,England,"End of loanJun 30, 2002",,2002/2003,Summer
517,Borussia Dortmund,Germany,Real Betis Balompié,Spain,"End of loanJun 30, 2002",,2002/2003,Summer
518,Bayer 04 Leverkusen,Germany,Hannover 96,Germany,€6.50m,6.5,2002/2003,Summer
519,Bayer 04 Leverkusen,Germany,TSV 1860 Munich,Germany,€4.20m,4.2,2002/2003,Summer
520,Bayer 04 Leverkusen,Germany,1.FC Nuremberg,Germany,"End of loanJun 30, 2002",,2002/2003,Summer
521,FC Schalke 04,Germany,SV Werder Bremen,Germany,€6.25m,6.25,2002/2003,Summer
522,FC Schalke 04,Germany,Hannover 96,Germany,"End of loanJun 30, 2002",,2002/2003,Summer
523,1.FC Kaiserslautern,Germany,Bayern Munich,Germany,free transfer,0.0,2002/2003,Summer
524,Hamburger SV,Germany,Bayern Munich,Germany,free transfer,0.0,2002/2003,Summer
525,Hamburger SV,Germany,Hannover 96,Germany,"End of loanJun 30, 2002",,2002/2003,Summer
526,Borussia Mönchengladbach,Germany,Hamburger SV,Germany,Loan fee:€250Th.,0.25,2002/2003,Summer
527,Borussia Mönchengladbach,Germany,1.FC Kaiserslautern,Germany,free transfer,0.0,2002/2003,Summer
528,Hannover 96,Germany,Borussia Dortmund,Germany,€500Th.,0.5,2002/2003,Summer
529,Hannover 96,Germany,Hertha BSC,Germany,€200Th.,0.2,2002/2003,Summer
